CLAVEAGRP|DIVISION|GRUPO|CLASE|SUBCLASE|ARTICULO|DESCRIPCION
100000|100000|||||ALIMENTOS Y BEBIDAS|
110000|100000|110000||||ALIMENTOS PARA CONSUMIR EN EL HOGAR|
111000|100000|110000|111000|||Pan y cereales|
111100|100000|110000|111000|111100||Productos de panadería y pastelería|
111101|100000|110000|111000|111100|111101|Facturas y churros|
111102|100000|110000|111000|111100|111102|Galletas, grisines y tostadas|
111103|100000|110000|111000|111100|111103|Galletitas de agua envasada|
111104|100000|110000|111000|111100|111104|Galletitas de agua sueltas|
111105|100000|110000|111000|111100|111105|Galletitas dulces envasadas|
111106|100000|110000|111000|111100|111106|Galletitas dulces sueltas|
111107|100000|110000|111000|111100|111107|Galletitas de otro tipo|
111108|100000|110000|111000|111100|111108|Masas secas o finas|
111109|100000|110000|111000|111100|111109|Pan envasado en rebanadas blanco|
111110|100000|110000|111000|111100|111110|Pan envasado en rebanadas integral|
111111|100000|110000|111000|111100|111111|Pan tipo francés fresco en piezas|
111112|100000|110000|111000|111100|111112|Pan integral fresco en piezas|
111113|100000|110000|111000|111100|111113|Pan para hamburguesas - pebetes - panchos|
111114|100000|110000|111000|111100|111114|Pan rallado|
111115|100000|110000|111000|111100|111115|Panes y panecillos frescos de otro tipo|
111116|100000|110000|111000|111100|111116|Panes y panecillos precocidos y congelados|
111117|100000|110000|111000|111100|111117|Tortas, tartas, pan dulce|
111118|100000|110000|111000|111100|111118|Otros productos de panadería y repostería|
111119|100000|110000|111000|111100|111119|Surtidos de productos de panadería y pastelería|
111200|100000|110000|111000|111200||Harinas, arroz y cereales|
111201|100000|110000|111000|111200|111201|Arroz blanco|
111202|100000|110000|111000|111200|111202|Arroz integral|
111203|100000|110000|111000|111200|111203|Otros arroces con aditamentos|
111204|100000|110000|111000|111200|111204|Avena|
111205|100000|110000|111000|111200|111205|Cereales en grano|
111206|100000|110000|111000|111200|111206|Cereales inflados|
111207|100000|110000|111000|111200|111207|Féculas|
111208|100000|110000|111000|111200|111208|Harina de maíz|
111209|100000|110000|111000|111200|111209|Harina de trigo|
111210|100000|110000|111000|111200|111210|Mezcla de harina para pizza, ñoquis, torta frita|
111211|100000|110000|111000|111200|111211|Mezcla de cereales y fibras o frutas|
111212|100000|110000|111000|111200|111212|Sémola y semolín|
111213|100000|110000|111000|111200|111213|Otras harinas|
111214|100000|110000|111000|111200|111214|Surtidos de harinas|
111300|100000|110000|111000|111300||Pastas|
111301|100000|110000|111000|111300|111301|Canelones|
111302|100000|110000|111000|111300|111302|Empanadas preparadas sin cocinar|
111303|100000|110000|111000|111300|111303|Fideos frescos|
111304|100000|110000|111000|111300|111304|Fideos secos|
111305|100000|110000|111000|111300|111305|Ñoquis frescos|
111306|100000|110000|111000|111300|111306|Pastas deshidratadas con y sin relleno|
111307|100000|110000|111000|111300|111307|Pizzas preparadas sin cocinar|
111308|100000|110000|111000|111300|111308|Pre-pizza|
111309|100000|110000|111000|111300|111309|Ravioles frescos|
111310|100000|110000|111000|111300|111310|Tapas frescas para canelones, panqueques, lasagnas, etc..|
111311|100000|110000|111000|111300|111311|Tapas frescas para empanadas y pastelitos|
111312|100000|110000|111000|111300|111312|Tapas frescas para tartas|
111313|100000|110000|111000|111300|111313|Tartas preparadas sin cocinar|
111314|100000|110000|111000|111300|111314|Otras pastas frescas rellenas,  tortelletis,  fideos rellenos, panzzotis, agnolottis, capellettis, etc..|
111315|100000|110000|111000|111300|111315|Otros alimentos semipreparados en base a pastas|
111316|100000|110000|111000|111300|111316|Surtidos de pastas|
112000|100000|110000|112000|||Carnes y derivados|
112100|100000|110000|112000|112100||Carne vacuna, fresca, congelada o semipreparadas|
112101|100000|110000|112000|112100|112101|Aguja|
112102|100000|110000|112000|112100|112102|Asado|
112103|100000|110000|112000|112100|112103|Bife ancho|
112104|100000|110000|112000|112100|112104|Bife angosto|
112105|100000|110000|112000|112100|112105|Bife de chorizo|
112106|100000|110000|112000|112100|112106|Bola de lomo|
112107|100000|110000|112000|112100|112107|Carnaza común|
112108|100000|110000|112000|112100|112108|Carne picada|
112109|100000|110000|112000|112100|112109|Cuadrada|
112110|100000|110000|112000|112100|112110|Cuadril|
112111|100000|110000|112000|112100|112111|Falda|
112112|100000|110000|112000|112100|112112|Hueso con carne|
112113|100000|110000|112000|112100|112113|Hueso sin carne|
112114|100000|110000|112000|112100|112114|Lomo|
112115|100000|110000|112000|112100|112115|Matambre - cima|
112116|100000|110000|112000|112100|112116|Nalga|
112117|100000|110000|112000|112100|112117|Paleta|
112118|100000|110000|112000|112100|112118|Palomita|
112119|100000|110000|112000|112100|112119|Peceto|
112120|100000|110000|112000|112100|112120|Roast beef|
112121|100000|110000|112000|112100|112121|Vacío|
112122|100000|110000|112000|112100|112122|Otros cortes|
112123|100000|110000|112000|112100|112123|Hígado|
112124|100000|110000|112000|112100|112124|Lengua de vaca|
112125|100000|110000|112000|112100|112125|Mondongo|
112126|100000|110000|112000|112100|112126|Riñón|
112127|100000|110000|112000|112100|112127|Otras achuras y menudencias vacunas|
112128|100000|110000|112000|112100|112128|Hamburguesas para cocinar (semipreparados)|
112129|100000|110000|112000|112100|112129|Milanesas para cocinar (semipreparados)|
112130|100000|110000|112000|112100|112130|Otros alimentos semipreparados en base a carne|
112131|100000|110000|112000|112100|112131|Surtidos de carne fresca vacuna|
112200|100000|110000|112000|112200||Carne de ave, fresca, congelada o semipreparadas|
112201|100000|110000|112000|112200|112201|Pollo entero|
112202|100000|110000|112000|112200|112202|Pollo trozado|
112203|100000|110000|112000|112200|112203|Otras aves|
112204|100000|110000|112000|112200|112204|Menudencias de ave|
112205|100000|110000|112000|112200|112205|Hamburguesas de pollo|
112206|100000|110000|112000|112200|112206|Supremas de pollo rebozadas|
112207|100000|110000|112000|112200|112207|Formitas, patitas, etc.|
112208|100000|110000|112000|112200|112208|Otros alimentos semipreparados en base a pollo|
112209|100000|110000|112000|112200|112209|Surtidos de carne de ave|
112300|100000|110000|112000|112300||Carne porcina u ovina, fresca o congelada|
112301|100000|110000|112000|112300|112301|Lechón entero o medio|
112302|100000|110000|112000|112300|112302|Costeleta - chuleta de cerdo|
112303|100000|110000|112000|112300|112303|Paleta de cerdo|
112304|100000|110000|112000|112300|112304|Lomo de cerdo|
112305|100000|110000|112000|112300|112305|Carré de cerdo|
112306|100000|110000|112000|112300|112306|Pechito de cerdo|
112307|100000|110000|112000|112300|112307|Otros cortes de carne porcina|
112308|100000|110000|112000|112300|112308|Ovino y caprino, entero o por corte|
112309|100000|110000|112000|112300|112309|Achuras y menudencias, porcinas y ovinas|
112310|100000|110000|112000|112300|112310|Surtidos de carne porcina u ovina|
112400|100000|110000|112000|112400||Otras carnes frescas o congeladas|
112401|100000|110000|112000|112400|112401|Otras carnes frescas o congeladas|
112500|100000|110000|112000|112500||Fiambres, embutidos y procesados en base a carne|
112501|100000|110000|112000|112500|112501|Bondiola|
112502|100000|110000|112000|112500|112502|Jamón cocido|
112503|100000|110000|112000|112500|112503|Jamón crudo|
112504|100000|110000|112000|112500|112504|Lomito|
112505|100000|110000|112000|112500|112505|Matambre (fiambre)|
112506|100000|110000|112000|112500|112506|Mortadela|
112507|100000|110000|112000|112500|112507|Paleta (fiambres)|
112508|100000|110000|112000|112500|112508|Panceta fresca, salada, ahumada|
112509|100000|110000|112000|112500|112509|Salame|
112510|100000|110000|112000|112500|112510|Salamín|
112511|100000|110000|112000|112500|112511|Salchichón|
112512|100000|110000|112000|112500|112512|Otros fiambres|
112513|100000|110000|112000|112500|112513|Chorizo fresco|
112514|100000|110000|112000|112500|112514|Morcilla|
112515|100000|110000|112000|112500|112515|Salchicha criolla|
112516|100000|110000|112000|112500|112516|Salchicha tipo viena con y sin piel|
112517|100000|110000|112000|112500|112517|Otros embutidos|
112518|100000|110000|112000|112500|112518|Paté de foie - ave en lata|
112519|100000|110000|112000|112500|112519|Picadillo de carne en lata|
112520|100000|110000|112000|112500|112520|Otras pastas de carne|
112521|100000|110000|112000|112500|112521|Carnes en conserva, escabeches|
112522|100000|110000|112000|112500|112522|Surtidos de fiambres, embutidos y procesados en base a carne|
113000|100000|110000|113000|||Pescados y mariscos|
113100|100000|110000|113000|113100||Pescados y mariscos frescos, congelados o semipreparados|
113101|100000|110000|113000|113100|113101|Atún - lomo de atún- salmón- congrio|
113102|100000|110000|113000|113100|113102|Brótola- lenguado|
113103|100000|110000|113000|113100|113103|Merluza|
113104|100000|110000|113000|113100|113104|Pejerrey|
113105|100000|110000|113000|113100|113105|Surubí|
113106|100000|110000|113000|113100|113106|Otros pescados de mar|
113107|100000|110000|113000|113100|113107|Otros pescados de río|
113108|100000|110000|113000|113100|113108|Almejas, berberechos, mejillones, cholgas, vieiras|
113109|100000|110000|113000|113100|113109|Calamares|
113110|100000|110000|113000|113100|113110|Langostinos y camarones|
113111|100000|110000|113000|113100|113111|Otros mariscos|
113112|100000|110000|113000|113100|113112|Filet preparado para cocinar|
113113|100000|110000|113000|113100|113113|Semipreparados congelados en base a pescado y mariscos|
113114|100000|110000|113000|113100|113114|Surtidos de pescados y mariscos frescos, congelados y semipreparados|
113200|100000|110000|113000|113200||Pescados y mariscos en conserva|
113201|100000|110000|113000|113200|113201|Atún en conserva|
113202|100000|110000|113000|113200|113202|Caballa en conserva|
113203|100000|110000|113000|113200|113203|Filet de anchoas|
113204|100000|110000|113000|113200|113204|Mariscos en conserva|
113205|100000|110000|113000|113200|113205|Sardinas en conserva|
113206|100000|110000|113000|113200|113206|Otras conservas de pescado|
113207|100000|110000|113000|113200|113207|Surtidos de pescados y mariscos en conserva|
114000|100000|110000|114000|||Aceites y grasas|
114100|100000|110000|114000|114100||Aceites|
114101|100000|110000|114000|114100|114101|Aceite mezcla|
114102|100000|110000|114000|114100|114102|Aceite de girasol|
114103|100000|110000|114000|114100|114103|Aceite de maíz|
114104|100000|110000|114000|114100|114104|Aceite de oliva|
114105|100000|110000|114000|114100|114105|Aceite de soja|
114106|100000|110000|114000|114100|114106|Otros aceites|
114107|100000|110000|114000|114100|114107|Surtidos de aceites|
114200|100000|110000|114000|114200||Grasas para la cocina (excluye manteca que va en productos lácteos)|
114201|100000|110000|114000|114200|114201|Grasa porcina|
114202|100000|110000|114000|114200|114202|Grasa vacuna|
114203|100000|110000|114000|114200|114203|Margarina|
114204|100000|110000|114000|114200|114204|Otras grasas|
114205|100000|110000|114000|114200|114205|Surtidos de grasa para la cocina|
115000|100000|110000|115000|||Leche, productos lácteos y huevos|
115100|100000|110000|115000|115100||Leche|
115101|100000|110000|115000|115100|115101|Leche común entera|
115102|100000|110000|115000|115100|115102|Leche común descremada|
115103|100000|110000|115000|115100|115103|Leche larga vida entera|
115104|100000|110000|115000|115100|115104|Leche larga vida descremada|
115105|100000|110000|115000|115100|115105|Leche en polvo entera o descremada|
115106|100000|110000|115000|115100|115106|Leches preparadas con aditamentos|
115107|100000|110000|115000|115100|115107|Otras leches fluidas|
115108|100000|110000|115000|115100|115108|Surtidos de leche|
115200|100000|110000|115000|115200||Queso|
