id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
1;1;13;4;2;2;1;2;1;1;293
2;1;3;4;10;1;2;1;2;7;184
3;1;13;4;2;2;1;2;1;1;621
4;1;3;4;10;1;2;1;2;3;307
5;1;3;4;2;1;2;1;1;1;114
6;1;13;4;2;2;2;2;1;7;572
7;1;1;4;2;2;2;2;1;7;122
8;1;14;4;2;4;2;1;1;1;459
9;1;2;4;2;1;2;1;1;1;221
10;1;13;4;1;7;1;7;1;7;402
11;1;2;4;2;2;2;2;1;2;98
12;1;1;4;2;1;2;1;1;1;136
13;1;2;4;2;4;2;4;1;7;90
14;1;2;4;2;2;2;2;1;7;88
15;1;1;4;2;3;2;1;1;1;103
15;2;1;4;2;3;2;1;1;1;103
16;1;13;4;2;1;3;1;1;1;508
17;1;2;4;2;1;2;1;1;1;118
18;1;14;4;2;3;2;3;1;2;443
19;1;7;4;2;2;2;2;1;2;308
20;1;8;3;1;1;2;1;3;3;56
21;1;3;4;10;1;2;1;2;2;152
22;1;6;4;2;2;2;2;1;1;369
23;1;2;4;2;4;2;4;1;7;118
24;1;10;4;1;4;2;4;1;7;253
25;1;14;4;2;3;2;0;0;1;551
26;1;14;4;2;2;2;2;1;1;350
27;1;5;4;2;2;2;2;1;1;309
28;1;2;4;2;1;3;1;1;1;214
29;1;2;4;2;2;3;2;1;1;193
30;1;2;4;2;2;2;2;1;1;182
31;1;1;4;2;3;2;3;1;7;256
32;1;5;4;2;2;2;2;1;2;206
33;1;3;4;2;2;3;2;1;1;260
34;1;1;4;2;2;1;2;1;1;300
35;1;2;4;2;3;2;3;1;7;216
36;1;14;4;2;2;2;2;1;1;393
37;1;14;4;2;3;3;3;1;1;491
38;1;2;4;2;2;2;2;1;2;278
39;1;11;4;1;2;3;2;1;6;380
40;1;7;4;10;1;2;1;2;3;267
41;1;7;4;10;1;2;1;2;3;234
42;1;6;4;9;1;2;1;2;3;279
43;1;1;3;1;3;3;3;1;4;59
44;1;1;4;9;1;2;1;2;3;120
45;1;7;3;2;2;3;2;1;6;88
46;1;1;4;10;1;2;1;2;7;116
47;1;5;4;10;1;2;1;1;1;219
48;1;3;4;10;1;2;1;1;1;87
49;1;8;3;1;3;3;3;1;3;156
50;1;10;4;2;2;2;2;1;3;275
51;1;15;4;2;1;3;1;2;7;346
52;1;2;4;2;5;1;5;1;1;193
53;1;13;4;2;2;2;2;1;1;310
54;1;7;4;2;3;1;3;1;7;309
55;1;14;4;2;3;2;3;1;7;442
56;1;2;4;2;4;2;4;1;7;320
57;1;1;4;2;2;3;2;1;1;462
58;1;15;4;2;3;2;3;1;5;288
59;1;3;4;2;3;2;3;1;7;227
60;1;3;4;2;1;2;1;1;1;213
61;1;2;4;2;2;2;2;1;1;252
62;1;15;4;2;1;2;1;1;1;415
63;1;13;4;2;1;2;1;1;1;339
64;1;2;4;2;3;2;3;1;7;182
65;1;2;4;2;1;2;1;1;1;262
66;1;3;4;2;2;2;2;1;1;259
67;1;1;4;2;3;2;1;2;3;177
68;1;2;4;2;1;2;1;1;1;294
69;1;14;4;2;1;2;1;1;1;491
70;1;3;4;2;2;2;0;0;1;149
70;2;3;4;2;2;2;0;0;1;149
71;1;1;3;1;2;1;2;1;3;60
72;1;4;4;2;3;1;3;1;3;111
73;1;6;4;2;2;2;2;1;3;337
74;1;1;4;10;1;3;1;2;4;189
75;1;4;4;9;1;2;1;2;3;128
76;1;12;4;2;2;2;2;1;3;289
77;1;2;4;2;3;2;3;1;7;206
78;1;1;4;2;1;2;1;3;2;194
79;1;8;4;2;3;2;3;1;3;105
80;1;2;4;2;2;2;2;1;7;215
81;1;1;4;10;1;2;1;1;1;107
82;1;7;4;2;2;2;2;1;1;167
83;1;12;4;2;2;2;2;1;3;319
84;1;13;4;2;2;2;2;1;7;333
85;1;5;4;2;3;2;3;1;2;471
86;1;4;4;2;3;2;3;1;2;162
87;1;10;4;2;1;2;1;2;3;189
88;1;3;4;2;2;3;2;1;1;246
89;1;5;4;2;2;2;2;1;1;299
90;1;3;4;10;1;2;1;1;1;237
91;1;3;4;2;3;2;3;1;2;115
92;1;2;4;2;2;2;2;1;7;365
93;1;1;4;2;2;2;2;1;3;185
94;1;5;4;2;2;2;2;1;1;285
95;1;2;4;2;3;2;3;1;7;192
96;1;2;4;2;2;2;2;1;1;244
97;1;2;4;2;2;2;2;1;1;376
98;1;12;4;2;3;3;3;1;1;296
99;1;1;4;2;5;1;5;1;7;134
100;1;4;4;9;1;2;1;2;3;322
101;1;6;4;2;3;2;3;1;3;389
102;1;12;4;2;1;2;1;1;1;377
103;1;7;4;9;1;2;1;2;7;257
104;1;8;3;1;1;3;1;3;3;150
105;1;7;3;1;3;3;3;1;3;100
106;1;8;4;1;2;3;2;2;3;189
107;1;9;4;2;2;2;2;1;3;124
108;1;11;4;2;1;2;1;1;1;268
109;1;7;3;2;3;2;3;1;3;84
110;1;4;3;1;1;3;1;2;3;355
111;1;4;3;1;2;3;2;2;5;355
112;1;8;3;2;2;3;2;1;3;26
113;1;8;3;1;3;3;3;2;5;155
114;1;5;4;2;2;2;2;1;3;212
115;1;5;4;2;3;2;3;2;6;269
116;1;3;4;10;1;2;1;1;1;123
117;1;10;4;2;2;2;2;1;3;268
118;1;2;4;2;3;2;1;1;1;158
118;2;2;4;2;3;2;1;2;7;158
119;1;5;4;2;2;2;2;1;3;264
120;1;5;4;2;1;2;1;1;1;360
121;1;13;4;2;2;2;2;1;1;370
122;1;6;4;2;2;2;2;1;7;452
123;1;3;4;2;2;3;2;1;1;340
124;1;3;4;2;2;2;2;1;2;236
125;1;5;4;2;3;2;3;1;7;294
126;1;1;4;2;2;2;2;1;1;91
127;1;4;4;2;2;2;2;1;3;223
128;1;2;4;2;2;2;2;1;1;376
129;1;13;4;2;2;3;2;1;1;355
130;1;14;4;2;3;2;3;1;2;387
131;1;11;4;2;3;2;3;1;2;357
132;1;2;4;2;2;2;2;1;1;588
133;1;1;4;10;1;2;1;1;1;107
134;1;2;4;2;2;2;2;1;1;186
135;1;5;4;2;2;2;2;1;1;362
136;1;1;4;2;1;2;1;1;1;109
137;1;1;4;2;1;2;1;2;7;172
138;1;8;4;2;3;2;3;1;4;365
139;1;2;4;2;2;3;2;2;3;755
140;1;4;4;2;2;2;2;1;3;209
141;1;1;3;1;2;2;2;1;1;59
142;1;4;4;2;2;2;2;1;2;195
143;1;4;4;2;1;2;1;2;3;195
144;1;1;3;1;2;3;2;2;3;61
145;1;2;4;2;1;2;1;2;2;124
146;1;5;4;2;2;2;2;1;3;341
147;1;1;4;2;1;2;1;1;1;293
148;1;1;4;10;1;2;1;1;1;89
149;1;15;4;2;2;3;2;1;1;255
150;1;9;4;2;2;2;2;1;1;94
151;1;3;4;2;1;2;1;2;2;384
152;1;3;4;2;2;2;2;1;2;260
153;1;2;4;2;3;2;3;1;7;186
154;1;1;4;2;1;2;1;1;1;167
155;1;2;4;2;5;2;5;1;7;168
156;1;2;4;2;3;3;3;1;7;155
