id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t18;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codi3_8x;i3_8x_2;codi3_est;i3_est_2;codi3_otr;i3_otr_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e8;e12;e13;e14;edad_30;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;sn1_1;sn1_7;sn1_2;sn1_3;sn1_4;sn1_5;s2;sn2;sn2_cant;sn4;sn5;sn16;s28;s29;fexp
1;1;1;13;4;16;1;1;6;95;95;3;0;2;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2500;2;0;2;0;1;2500;1;2500;1;2500;2500;1;1;7;4;0;0;0;16;4;10;1;1;0;1;1;2;2;2;2;2;2;2;2;0;3;2;1;0;0;293
2;1;1;3;4;18;1;1;6;95;95;3;0;1;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;500;2;0;1;4000;1;4500;1;4500;9;5500;2750;1;1;7;6;0;0;0;17;4;11;5;5;2005;2005;1;2;2;2;2;2;2;1;2;0;3;2;2;0;0;184
2;1;2;3;4;59;2;7;3;0;0;3;0;1;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;9;1000;2;0;9;1000;9;1000;9;5500;2750;2;0;0;0;7;1;0;59;5;12;5;5;2005;2005;1;2;2;2;2;2;2;1;1;3;3;2;3;1;4;184
3;1;1;13;4;18;2;1;6;95;95;3;0;2;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;2;0;2;0;1;10000;1;10000;1;10000;10000;1;3;13;1;0;0;0;18;6;12;6;6;0;2017;2;1;2;2;2;2;2;1;2;0;3;7;1;2;0;621
4;1;1;3;4;18;2;1;1;95;95;1;3;0;0;0;0;0;0;1;48.00;2;0;2;4803;3;2;2;1;30333;0;0;3;1;0;2;0;0;1;7500;1;7500;0;0;2;0;1;7500;2;0;2;0;2;0;2;0;2;0;2;0;1;7500;1;10700;5350;1;1;13;11;0;0;0;18;6;12;4;4;2017;2017;1;2;2;2;2;2;2;4;2;0;3;1;3;2;0;307
4;1;2;3;4;20;2;2;1;95;95;1;3;0;0;0;0;0;0;1;8.00;2;0;2;9700;9;0;0;0;55314;0;0;3;1;0;2;0;0;1;3200;1;3200;0;0;2;0;1;3200;2;0;2;0;2;0;2;0;2;0;2;0;1;3200;1;10700;5350;1;3;7;5;0;0;0;20;4;11;1;1;0;1;2;1;2;2;2;2;2;3;2;0;1;1;4;2;0;307
5;1;1;3;4;18;2;1;6;95;95;3;0;2;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3500;2;0;2;0;1;3500;1;3500;1;3500;3500;1;1;13;1;0;0;0;18;6;12;3;3;0;2017;4;2;2;2;1;2;2;1;2;0;2;6;2;2;0;114
6;1;1;13;4;18;2;1;6;95;95;1;3;0;0;0;0;0;0;1;10.00;1;1;1;9602;8;2;2;2;57314;0;0;3;2;3;0;0;0;1;4000;1;4000;0;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;9;14000;4667;2;0;0;0;7;1;0;18;5;12;4;4;2017;2017;1;2;2;2;2;2;2;1;2;0;3;6;3;2;0;572
6;1;2;13;4;22;2;7;6;95;95;1;3;0;0;0;0;0;0;1;25.00;2;0;2;9602;8;2;2;2;57314;0;0;1;1;0;2;0;0;9;8000;9;8000;0;0;2;0;9;8000;2;0;2;0;2;0;2;0;2;0;2;0;9;8000;9;14000;4667;2;0;0;0;13;2;2;21;6;14;4;4;2014;2014;3;2;1;2;2;2;2;2;2;0;3;6;3;2;0;572
6;1;3;13;4;23;2;8;6;95;95;1;3;0;0;0;0;0;0;1;30.00;2;0;2;4804;3;2;2;2;30313;0;0;3;1;0;2;0;0;9;6000;9;6000;0;0;2;0;9;6000;2;0;2;0;2;0;2;0;2;0;2;0;9;6000;9;14000;4667;2;0;0;0;13;2;4;22;6;16;4;4;2017;2017;1;2;2;2;2;2;2;2;2;0;3;5;2;2;0;572
7;1;1;1;4;19;2;1;6;95;95;1;3;0;0;0;0;0;0;1;18.00;2;0;2;9602;8;2;2;2;57313;0;0;3;1;0;2;0;0;1;6000;1;6000;0;0;2;0;1;6000;2;0;2;0;2;0;2;0;2;0;2;0;1;6000;1;21000;7000;1;1;7;2;0;0;0;18;4;8;1;1;0;1;1;2;2;2;2;2;2;1;1;1;3;2;2;2;0;122
7;1;2;1;4;24;2;7;3;95;95;1;3;0;0;0;0;0;0;1;48.00;2;0;2;9602;8;2;2;3;57313;0;0;1;1;0;2;0;0;1;15000;1;15000;0;0;2;0;1;15000;2;0;2;0;2;0;2;0;2;0;2;0;1;15000;1;21000;7000;2;0;0;0;7;1;0;23;5;12;1;1;0;1;2;1;2;2;2;2;2;1;1;1;3;5;2;1;1;122
