codigo_ocupacion;descripcion_ocupacion
00001;Funcionarios del poder ejecutivo nacional, provincial, municipal y/o departamental- Calificación profesional
01001;Funcionarios del poder legislativo nacional, provincial/ municipal y/o departamental- Calificación profesional
02001;Funcionarios del poder judicialfederal/ nacional/ provincial/municipal y/o departamental- Calificación profesional
03001;Directivos de organismos, empresas e instituciones estatales - Calificación profesional
04001;Directivos de instituciones sociales (comunales, políticas, gremiales, religiosas, derechos humanos, medio ambiente y otras instituciones de bien público) - Calificación profesional
05001;Directivos de pequeñas y microempresas (patrones de 1 a 5 personas) - Calificación profesional
05002;Directivos de pequeñas y microempresas (patrones de 1 a 5 personas) - Calificación técnica
06001;Directivos de medianas empresas privadas productora de bienes y/o servicios (establecimientos de 6 a 40 personas) - Calificación profesional
07001;Directivos de grandes empresas privadas productoras de bienes y/o servicios (establecimientos de más de 41 personas) - Calificación profesional
10111;Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión- Calificación profesional
10112;Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión- Calificación técnica
10113;Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión- Calificación operativa
10119;Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión- Calificación ignorada
10121;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión administrativa, planificación y control de gestión - Calificación profesional
10122;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión administrativa, planificación y control de gestión - Calificación técnica
10123;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión administrativa, planificación y control de gestión - Calificación operativa
10129;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión administrativa, planificación y control de gestión - Calificación ignorada
10131;Cuenta propiacon operación de sistemasy/o equipos informatizados de la gestión administrativa, planificación y control de gestión- Calificación profesional
10132;Cuenta propiacon operación de sistemasy/o equipos informatizados de la gestión administrativa, planificación y control de gestión- Calificación técnica
10133;Cuenta propiacon operación de sistemasy/o equipos informatizados de la gestión administrativa, planificación y control de gestión- Calificación operativa
10139;Cuenta propiacon operación de sistemasy/o equipos informatizados de la gestión administrativa, planificación y control de gestión- Calificación ignorada
10201;Jefes de gestión administrativa, de planificación, y control de gestión - Calificación profesional
10202;Jefes de gestión administrativa, de planificación, y control de gestión - Calificación técnica
10203;Jefes de gestión administrativa, de planificación, y control de gestión - Calificación operativa
10209;Jefes de gestión administrativa, de planificación, y control de gestión - Calificación ignorada
10311;Trabajadores sin operación de maquinarias de la gestión administrativa, de planificación y control degestiónCalificación profesional
10312;Trabajadores sin operación de maquinarias de la gestión administrativa, de planificación y control degestión Calificación técnica
10313;Trabajadores sin operación demaquinarias de la gestión administrativa, de planificación y control degestiónCalificación operativa
10314;Trabajadores sin operación demaquinarias de la gestión administrativa, de planificación y control degestión- No calificados
10319;Trabajadores sin operación demaquinarias de la gestión administrativa, de planificación y control degestión - Calificación ignorada
10321;Operadores de maquinaria y/o equipos electromecánicos de las ocupaciones de la administración, planificación y control de gestión - Calificación profesional
10322;Operadores de maquinaria y/o equipos electromecánicos de las ocupaciones de la administración, planificación y control de gestión- Calificación técnica
10323;Operadores de maquinaria y/o equipos electromecánicos de las ocupaciones de la administración, planificación y control de gestión - Calificación operativa
10324;Operadores de maquinaria y/o equipos electromecánicos de las ocupaciones de la administración, planificación y control de gestión - No calificados
10329;Operadores de maquinaria y/o equipos electromecánicos de las ocupaciones de la administración, planificación y control de gestión - Calificación ignorada
10331;Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación ycontrol de gestión - Calificación profesional
10332;Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación ycontrol de gestión- Calificación técnica
10333;Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación ycontrol de gestión-Calificación operativa
10334;Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación ycontrol de gestión- no calificadas
10339;Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación ycontrol de gestión-Calificación ignorada
11111;Cuenta propias in operación de maquinarias de la gestión jurídico-legal - Calificación profesional
11112;Cuenta propias in operación de maquinarias de la gestión jurídico-legal - Calificación técnica
11113;Cuenta propias in operación de maquinarias de la gestión jurídico-legal - Calificación operativa
