anio,sexo,porc_poblacion,grupos_actividad
2005,TOTAL,45.9,Trabajo para el mercado
2005,TOTAL,80.6,Trabajo doméstico no remunerado
2005,TOTAL,8.4,Servicios a la comunidad y ayudas no pagas
2005,TOTAL,13.9,Educación
2005,TOTAL,90.4,Convivencia social y actividades recreativas
2005,TOTAL,89.1,Uso de medios de comunicación
2005,TOTAL,25.9,Trabajo de cuidado no remunerado a miembros del hogar
2005,TOTAL,100.0,Cuidado personal
2005,m,35.7,Trabajo para el mercado
2005,m,92.6,Trabajo doméstico no remunerado
2005,m,10.9,Servicios a la comunidad y ayudas no pagas
2005,m,14.1,Educación
2005,m,91.4,Convivencia social y actividades recreativas
2005,m,90.0,Uso de medios de comunicación
2005,m,30.9,Trabajo de cuidado no remunerado a miembros del hogar
2005,m,100.0,Cuidado personal
2005,v,58.3,Trabajo para el mercado
2005,v,65.8,Trabajo doméstico no remunerado
2005,v,5.2,Servicios a la comunidad y ayudas no pagas
2005,v,13.6,Educación
2005,v,89.3,Convivencia social y actividades recreativas
2005,v,88.1,Uso de medios de comunicación
2005,v,19.6,Trabajo de cuidado no remunerado a miembros del hogar
2005,v,100.0,Cuidado personal
